city,County,RUCA code
MOUNTAIN CENTER,RIVERSIDE,10
MOUNTAIN RANCH,CALAVERAS,10
MOUNTAIN VIEW,SANTA CLARA,1
MURPHYS,CALAVERAS,10
MURRIETA,RIVERSIDE,1
NAPA,NAPA,1
NAPA,NAPA,2
NAPA,NAPA,3
NATIONAL CITY,SAN DIEGO,1
NEEDLES,SAN BERNARDINO,7
NEVADA CITY,NEVADA,4
NEVADA CITY,NEVADA,5
NEWARK,ALAMEDA,1
NEWBURY PARK,VENTURA,1
NEWCASTLE,PLACER,2
NEWHALL,LOS ANGELES,2
NEWMAN,STANISLAUS,3
NEWMAN,STANISLAUS,4
NEWPORT BEACH,ORANGE,1
NEWPORT COAST,ORANGE,1
NICE,LAKE,4
NICOLAUS,SUTTER,2
NIPOMO,SAN LUIS OBISPO,1
NIPOMO,SAN LUIS OBISPO,3
NORCO,RIVERSIDE,1
NORDEN,PLACER,10
NORTH HIGHLANDS,SACRAMENTO,1
NORTH HILLS,LOS ANGELES,1
NORTH HOLLYWOOD,LOS ANGELES,1
NORTHRIDGE,LOS ANGELES,1
NORWALK,LOS ANGELES,1
NOVATO,MARIN,2
NOVATO,MARIN,1
NUEVO,RIVERSIDE,1
OAK PARK,VENTURA,1
OAK VIEW,VENTURA,1
OAKDALE,STANISLAUS,1
OAKHURST,MADERA,10
OAKHURST,MADERA,7
OAKLAND,ALAMEDA,1
OAKLEY,CONTRA COSTA,1
OCCIDENTAL,SONOMA,2
OCEANO,SAN LUIS OBISPO,1
OCEANSIDE,SAN DIEGO,1
OJAI,VENTURA,1
OLIVEHURST,YUBA,2
OLIVEHURST,YUBA,1
ONTARIO,SAN BERNARDINO,1
ORANGE,ORANGE,1
ORANGE COVE,TULARE,2
ORANGE COVE,FRESNO,7
ORANGEVALE,SACRAMENTO,1
ORINDA,CONTRA COSTA,1
ORLAND,GLENN,7
ORLAND,GLENN,2
OROSI,TULARE,3
OROVILLE,BUTTE,5
OROVILLE,BUTTE,4
OXNARD,VENTURA,1
PACIFIC GROVE,MONTEREY,1
PACIFIC PALISADES,LOS ANGELES,2
PACIFIC PALISADES,LOS ANGELES,1
PACIFICA,SAN MATEO,1
PACOIMA,LOS ANGELES,1
PAICINES,SAN BENITO,6
PALM DESERT,RIVERSIDE,1
PALM SPRINGS,RIVERSIDE,1
PALMDALE,LOS ANGELES,1
PALMDALE,LOS ANGELES,10
PALMDALE,LOS ANGELES,2
PALO ALTO,SANTA CLARA,1
PALO ALTO,SAN MATEO,1
PALO CEDRO,SHASTA,2
PALOS VERDES PENINSULA,LOS ANGELES,1
PANORAMA CITY,LOS ANGELES,1
PARADISE,BUTTE,4
PARAMOUNT,LOS ANGELES,1
PARLIER,FRESNO,3
PASADENA,LOS ANGELES,1
PASO ROBLES,SAN LUIS OBISPO,1
PASO ROBLES,SAN LUIS OBISPO,2
PATTERSON,STANISLAUS,10
PATTERSON,STANISLAUS,4
PAUMA VALLEY,SAN DIEGO,2
PEBBLE BEACH,MONTEREY,1
PENN VALLEY,NEVADA,5
PENNGROVE,SONOMA,1
PENRYN,PLACER,1
PERRIS,RIVERSIDE,1
PERRIS,RIVERSIDE,2
PESCADERO,SAN MATEO,10
PETALUMA,SONOMA,10
PETALUMA,MARIN,10
PETALUMA,SONOMA,1
PETALUMA,SONOMA,2
PHELAN,SAN BERNARDINO,3
PHELAN,SAN BERNARDINO,2
PHELAN,SAN BERNARDINO,1
PHILO,MENDOCINO,10
PICO RIVERA,LOS ANGELES,1
PILOT HILL,EL DORADO,2
PINE GROVE,AMADOR,10
PINOLE,CONTRA COSTA,1
PINON HILLS,SAN BERNARDINO,3
PIONEER,AMADOR,10
PISMO BEACH,SAN LUIS OBISPO,1
PITTSBURG,CONTRA COSTA,1
PIXLEY,TULARE,4
PLACENTIA,ORANGE,1
PLACERVILLE,EL DORADO,2
PLACERVILLE,EL DORADO,4
PLAYA DEL REY,LOS ANGELES,1
PLEASANT HILL,CONTRA COSTA,1
PLEASANTON,ALAMEDA,2
PLEASANTON,ALAMEDA,1
PLYMOUTH,AMADOR,3
POINT ARENA,MENDOCINO,10
POINT MUGU NAWC,VENTURA,1
POINT REYES STATION,MARIN,10
POLLOCK PINES,EL DORADO,4
POLLOCK PINES,EL DORADO,5
POMONA,LOS ANGELES,1
PORT HUENEME,VENTURA,1
PORT HUENEME CBC BASE,VENTURA,1
PORTER RANCH,LOS ANGELES,1
PORTERVILLE,TULARE,3
PORTERVILLE,TULARE,1
PORTOLA,PLUMAS,2
PORTOLA VALLEY,SAN MATEO,1
POTTER VALLEY,MENDOCINO,5
POWAY,SAN DIEGO,1
QUINCY,PLUMAS,7
