city,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,population,ruca,revenue,predicted_revenue,number,total_wa,perc_wa,total_ba,perc_ba,total_ia,perc_ia,total_aa,perc_aa,total_na,perc_na,total_mixed,perc_mixed,total_twoormoreraces,perc_twoormoreraces
CUPERTINO,484013.78,247370.6091,372,2,3.752406839,100,0,10.75461157,14.69920545,170610,61929,1,196447606,196447606,92,17022,0.27486315,664,0.01072196,128,0.00206688,41440,0.66915339,193,0.00311647,580,0.00936556,1902,0.03071259
DALY CITY,716892.7038,524365.7901,1368,2,66.72300116,100,0,21.23519022,41.32299155,97461.5,114485,1,200748571,200748571,93,25274,0.22076255,3780,0.03301743,468,0.00408787,65657,0.57349871,1441,0.0125868,12409,0.10838975,5456,0.0476569
DANVILLE,222325.9862,113364.0322,509,3,0,100,0,3.239307706,1.166603607,169094.5,49140,1,72565325,72565325,94,39576,0.80537241,602,0.01225071,17,0.00034595,6876,0.13992674,66,0.0013431,294,0.00598291,1709,0.03477818
DAVIS,351784.3874,189874.1432,54,3,10.68853244,100,0,12.56234193,19.13229916,70469,71684,1,158861658,158861658,95,44096,0.61514424,1549,0.02160873,188,0.00262262,18341,0.25585905,230,0.00320853,2803,0.03910217,4477,0.06245466
DEL REY,37284.881,19428.71665,9,1,0,100,1,55.80802584,93.74448228,40573,3293,2,,-156649309.3,96,2391,0.72608564,0,0,0,0,108,0.03279684,0,0,614,0.18645612,180,0.0546614
DELHI,12495,44447.8348,130,1,95.55306462,100,0.5,40.49075709,76.69315172,54413,12422,1,,-110817214.7,97,4947,0.39824505,188,0.01513444,24,0.00193206,556,0.0447593,0,0,6304,0.50748672,403,0.03244244
DINUBA,190540,127050.2436,1203,1,18.83783576,100,0.8,48.30342822,87.03493505,54744,32347,5,50721038,50721038,98,24589,0.76016323,149,0.0046063,178,0.00550283,635,0.01963088,3,9.27E-05,5969,0.18453025,824,0.02547377
DISCOVERY BAY,4923.4,6226.449272,4,1,0,100,0,16.93667271,30.19296254,121688,9370,3,,-126139764,99,7795,0.83191035,167,0.01782284,75,0.00800427,472,0.05037353,0,0,488,0.05208111,373,0.0398079
DIXON,587500.8375,333415.9587,1093,4,0,100,0,23.14191445,45.46601085,87639,27647,5,55726851,55726851,100,19839,0.71758238,459,0.01660216,160,0.00578725,1636,0.05917459,90,0.00325533,3713,0.13430029,1750,0.06329801
DOS PALOS,121536.86,231156.5394,630,3,88.64074857,100,1,51.84016295,90.50952201,40040.5,9043,8,4536757,4536757,101,5075,0.56120756,311,0.03439124,98,0.01083711,80,0.00884662,0,0,2941,0.32522393,538,0.05949353
DOWNEY,1639051.641,748363.9731,95,1,34.93263971,100,0.2727272727,34.45541725,67.43599445,74231,112322,1,220835936,220835936,102,68660,0.61127829,3800,0.03383131,575,0.00511921,7736,0.06887342,174,0.00154912,28198,0.2510461,3179,0.02830256
DUBLIN,282452.393,208330.7862,299,2,12.64694717,100,0,12.98059678,19.97729852,124338,37942,1,283718026,283718026,103,17886,0.47140372,1700,0.04480523,245,0.00645722,14294,0.37673291,128,0.00337357,941,0.02480101,2748,0.07242633
DURHAM,185,13.93221308,1,1,0,100,0,17.66888967,32.33699079,84811,5834,2,,-143892232.7,104,5128,0.87898526,112,0.01919781,0,0,153,0.02622557,0,0,193,0.03308193,248,0.04250943
EL CERRITO,401832.2498,183162.5768,1346,1,0,100,0,11.36615592,15.90364485,107813,30762,1,68530224,68530224,105,16194,0.52642871,1889,0.06140693,223,0.0072492,8904,0.28944802,255,0.00828945,1096,0.03562837,2201,0.07154931
EL DORADO HILLS,13795.7,6773.087062,36,2,37.92175978,100,0,4.262993213,2.251229663,146439.5,33927,1,,-2851479.618,106,27456,0.80926696,482,0.01420697,89,0.00262328,3385,0.09977304,224,0.00660241,414,0.01220267,1877,0.05532467
EL MONTE,119920.023,121529.5452,40,1,0,100,1,53.57521225,92.0797074,52436,98427,1,219130286,219130286,107,39090,0.39714712,554,0.00562854,885,0.00899144,28543,0.28999157,639,0.00649212,25237,0.25640322,3479,0.03534599
EL SEGUNDO,17577.90317,48444.04815,4,1,0,100,0.1666666667,15.56612256,26.56703241,109929,16731,6,194778081,194778081,108,12005,0.71753033,626,0.03741558,37,0.00221146,1701,0.10166756,9,0.00053792,756,0.04518558,1597,0.09545156
EL SOBRANTE,251044.4889,192640.9567,121,2,22.08181959,100,0,15.69790454,27.18501703,85388.5,21101,1,,-67244342.57,109,10286,0.48746505,2768,0.13117862,173,0.00819866,4667,0.22117435,23,0.00109,1271,0.06023411,1913,0.09065921
EMERYVILLE,349156.8492,230760.6884,799,2,3.638275216,100,0.4,35.68323888,69.58632867,79679,37271,1,134910892,134910892,110,15679,0.42067559,9524,0.25553379,259,0.0069491,5582,0.14976792,194,0.00520512,2747,0.07370342,3286,0.08816506
ESCALON,24555.36,13850.46844,3,1,0,100,0.5,35.97940652,69.37192584,69036,13379,5,10279976,10279976,111,12254,0.915913,77,0.00575529,75,0.0056058,161,0.01203378,9,0.0006727,555,0.04148292,248,0.01853651
