county,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,tot_lcff,no_title1_status,number_of_schools,perc_title1_status,kWh,budget,claims,programs,perc_obf,perc_resource,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,irr,total_pop,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na
SHASTA,27097,13306,14898,0.49105067,0.549802561,41910191,13,102,0.12745098,0,0,0,0,0,0,0,14.01309393,22.47446084,54667,0.466950482,1078346,359448.667,947066,315688.667,0.878258,12862,4287.33333,0.01192753,34338,11446,0.03184321,33568,11189.3333,0.03112916,2336,778.666667,0.00216628
SIERRA,432,185,199,0.428240741,0.460648148,0,0,5,0,0,0,0,0,0,0,0,19.96548266,38.20153866,52148,0.6149941,18008,6002.66667,16780,5593.33333,0.93180809,100,33.3333333,0.00555309,458,152.666667,0.02543314,128,42.6666667,0.00710795,24,8,0.00133274
SISKIYOU,6066,3499,3972,0.576821629,0.654797231,6743387,2,43,0.046511628,0,0,0,0,0,0,0,14.69954927,24.30949678,45241,0.557350419,261422,87140.6667,225160,75053.3333,0.86128941,3900,1300,0.01491841,13302,4434,0.05088325,3998,1332.66667,0.01529328,914,304.666667,0.00349626
SOLANO,62980,26344,31404,0.418291521,0.498634487,46718215,7,110,0.063636364,109050.7476,58765.52936,16,2,0,100,0.052083333,21.7992194,42.64093833,81472,0.377800437,2673758,891252.667,1600504,533501.333,0.59859718,396192,132064,0.14817796,33750,11250,0.01262268,427106,142368.667,0.15973996,27636,9212,0.01033601
SONOMA,68198,25416,30753,0.372679551,0.450936978,163918885,19,208,0.091346154,22083.5684,12346.99024,11,2,0,100,0.01010101,14.81024382,24.65632488,81018,0.392294571,2990896,996965.333,2600062,866687.333,0.86932545,61184,20394.6667,0.02045675,64838,21612.6667,0.02167845,134476,44825.3333,0.04496178,12022,4007.33333,0.00401953
STANISLAUS,110372,65779,74195,0.595975429,0.672226652,89254817,11,203,0.054187192,0,1742.39,12,1,0,100,0.64893617,44.07540583,81.64964056,60704,0.393360261,3287006,1095668.67,2744600,914866.667,0.83498479,113810,37936.6667,0.03462421,65164,21721.3333,0.01982473,198938,66312.6667,0.06052255,30016,10005.3333,0.00913171
SUTTER,23308,12942,14897,0.555259997,0.639136777,53768190,8,46,0.173913044,8252.878,13085.88107,7,2,0,100,0.047619048,27.29001288,54.40786984,59050,0.45473087,579046,193015.333,422620,140873.333,0.72985566,15606,5202,0.02695123,13634,4544.66667,0.02354563,97828,32609.3333,0.16894685,2466,822,0.00425873
TEHAMA,11107,6997,8026,0.629963086,0.722607365,4041014,1,45,0.022222222,69295,47175.44933,10,2,0,100,0,26.96350594,53.82772102,44514,0.518114144,385898,128632.667,348724,116241.333,0.90366885,3934,1311.33333,0.0101944,12822,4274,0.0332264,5508,1836,0.0142732,858,286,0.00222339
TRINITY,1579,901,1070,0.570614313,0.677644079,650651,1,18,0.055555556,0,0,0,0,0,0,0,8.569741274,9.837306092,40846,0.585870254,75156,25052,65534,21844.6667,0.87197296,550,183.333333,0.00731811,3888,1296,0.0517324,1034,344.666667,0.01375805,164,54.6666667,0.00218213
TULARE,105028,72879,80332,0.693900674,0.764862703,89491857,7,192,0.036458333,233476.2846,77860.76869,9,5,0,100,0.448717949,38.0609887,73.2122588,49687,0.436561598,2786184,928728,2458782,819594,0.88249089,60638,20212.6667,0.02176382,77210,25736.6667,0.02771174,110440,36813.3333,0.03963844,6326,2108.66667,0.00227049
TUOLUMNE,6042,2584,2900,0.427672956,0.479973519,6428602,1,25,0.04,0,0,0,0,0,0,0,21.28900905,41.36713331,60108,0.518851624,325682,108560.667,294432,98144,0.90404751,6544,2181.33333,0.02009322,7466,2488.66667,0.0229242,4600,1533.33333,0.01412421,896,298.666667,0.00275115
VENTURA,135291,58826,70930,0.434810889,0.524277299,69723950,12,218,0.055045872,1371597.361,891071.1465,332,8,2.50934995,100,0.046242775,17.98371115,33.09370665,88131,0.36874757,5086384,1695461.33,4284202,1428067.33,0.84228835,120450,40150,0.02368087,94112,31370.6667,0.01850273,396284,132094.667,0.07791075,14590,4863.33333,0.00286844
YOLO,30533,13195,14982,0.432155373,0.490682213,24241319,4,66,0.060606061,0,0,0,0,0,0,0.097560976,18.63739569,34.80892925,70228,0.43782709,1318190,439396.667,979252,326417.333,0.74287622,38894,12964.6667,0.02950561,23416,7805.33333,0.01776375,196666,65555.3333,0.14919397,7518,2506,0.00570327
YUBA,14746,9030,10096,0.612369456,0.684660247,14878844,3,44,0.068181818,0,0,0,0,0,0,0.214285714,31.54048804,62.23357296,58054,0.46933823,465606,155202,366036,122012,0.78614966,20316,6772,0.04363346,13504,4501.33333,0.02900306,33910,11303.3333,0.07282982,2422,807.333333,0.00520182
