SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
HACIENDA HEIGHTS,45187.506,-0.81,542250.072,-9.72,20846.16277,2,1,0,100,0.428571429,34.04003262,66.60360701,,85044.5,56972,1,1,112845817
HALF MOON BAY,55886.776,-129.574,543599.9815,-853.30677,16365.99126,172,1,64.94881558,100,0,16.17893726,28.50926977,46348862,145873,11860,4,4,46348862
HANFORD,115711.1587,-400.2114393,751473.5889,-2454.405255,345368.002,97,3,0,100,0.384615385,38.95330355,74.34733258,83416244,55670,72726,6,6,83416244
HAWTHORNE,114878.4755,-40.38381141,745323.8479,-233.498679,300698.0243,9,1,0,100,0.75,45.94890733,84.10266112,197009382,52779.5,104391,1,1,197009382
HAYWARD,2427577.601,-18831.4508,25223738,-198652.4869,1694410.478,1665,3,9.348900499,100,0.055555556,29.52929838,58.60133686,467224536,81092.5,176116,1,1,467224536
HEALDSBURG,161079.4703,-1275.20623,1668600.823,-13133.76805,50696.12958,19,1,0,100,0,19.08242897,35.99445075,47630835,96324,19524,2,2,47630835
HEMET,54444.55183,-52.88740582,548428.4836,-537.0820412,25563.48474,25,1,0,100,0.12,31.21898147,61.6597301,125934873,41531,116515,1,1,125934873
HERCULES,257024.3127,-1600.40514,2549406.784,-16963.74376,165130.0705,51,1,0,100,0,18.35257239,34.15310884,35619267,122232,22381,1,1,35619267
HERMOSA BEACH,298583.4347,-21.50120999,3645690.343,-107.4604219,539726.5329,48,1,80.89578061,100,0,5.840042359,4.363728087,85675375,136285,19539,1,1,85675375
HESPERIA,17875.58119,-39.547746,89377.90596,-197.73873,60882.01474,4,1,0,100,0.066666667,27.63356546,55.13936184,94458935,52117,102311,1,1,94458935
HOLLISTER,1595535.862,-4590.27908,15481088.61,-39634.18966,931755.0827,2295,3,32.29871493,100,0,31.87908733,62.92092319,69688403,91935,51064,7,7,69688403
HOOPA,18054.192,-129.8233933,98037.84,-841.4959664,18058.98547,12,1,0,100,0,12.04645218,18.11073275,,40739.5,5686,10,10,-144635265.9
HUNTINGTON BEACH,1958349.548,-117.9612469,22335989.94,-633.1012344,1225646.017,79,1,0,100,0.023809524,12.47967905,18.9052844,484982227,98057.5,197574,1,1,484982227
HUNTINGTON PARK,51889.14,1383.84,155667.42,4151.52,11283.95641,3,1,0,100,0.954545455,51.97558718,90.7302308,89389533,45434,74249,1,1,89389533
HURON,4217.2,-0.062,18516.996,-0.1674,2127.67932,5,1,0,100,0.5,40.01658418,75.84184639,5279306,33216.5,8085,7,7,5279306
INDIAN WELLS,7804.710144,-1.313475609,39023.55072,-6.567378048,100168.5954,7,1,0,100,0,7.929509021,9.553537647,61437788,92366,3942,1,1,61437788
INGLEWOOD,181450.2597,-29.11661983,2215377.899,-145.5830992,638693.0973,36,1,0,100,0.65625,44.59060297,82.34960272,349011310,53807.5,131234,1,1,349011310
IONE,117771.4356,-895.24715,1283081.747,-9527.0478,89756.47295,19,1,0,100,0,27.92602584,55.72581662,6978794,66348,10220,3,3,6978794
IRVINE,487780.126,0,5940373.512,0,402596.0347,212,2,0,100,0.029411765,15.57282033,26.67423383,630558569,108943,261711,1,1,630558569
ISLETON,346697.3927,-626.9523308,3919739.698,-5757.084364,136127.0945,105,2,0,100,0,31.01731621,61.30659604,2432600,40395,1514,10,10,2432600
